osm_id,place_type,name_default,name_ar,name_en,name_fr,lat,lon
258400274,hamlet,القاطع,القاطع,,,33.6244623,35.5182677
258516078,city,طرابلس,طرابلس,Tripoli,Tripoli,34.4373616,35.8348551
258842202,city,جونيه,جونيه,Jounieh,Jounieh,33.9741506,35.6200633
259206936,suburb,الدورة,الدورة,Al Daoura,Daoura,33.8928157,35.5507034
260193034,locality,الكولا,الكولا,Cola,Cola,33.87592,35.4957707
260193094,neighbourhood,مار إلياس,مار إلياس,Mar Elias,Mar Elias,33.8756986,35.4904861
260286476,town,جديدة المتن,جديدة المتن,Jdeideh,Jdaidet El Matn,33.8921658,35.5703807
264331553,neighbourhood,البربير,البربير,Barbir,Barbir,33.877068,35.5060499
268119791,locality,الخلّة,الخلّة,,,33.6307009,35.5123536
268981980,village,سبلين,سبلين,Sibline,Sibline,33.6239528,35.4353611
268989140,hamlet,الضيعة,الضيعة,,,33.6290803,35.5121526
278473401,hamlet,جرديح,جرديح,Jurdeih,Jourdeih,33.1002392,35.216927
278562448,village,كفر حزير,كفر حزير,Kfar Hazir,Kfar Hazir,34.3121354,35.7732333
278982494,village,حدث الجبة,حدث الجبة,Hadath El Jebbeh,Hadath El Jebbeh,34.2471828,35.9305505
279433753,village,كفر صارون الكورة,كفر صارون الكورة,Kfar Saroun,Kfar Saroun,34.2961507,35.8295083
279849563,village,رشدبين,رشدبين,Rechdibbine,Rechdibbine,34.2916095,35.8618348
280026228,village,كفر حاتا - الكورة,كفر حاتا - الكورة,Kfar Hata Koura,Kfar Hata Koura,34.2833514,35.7486284
280026275,village,بتعبورة,بتعبورة,Btaaboura,Btaaboura,34.274401,35.7635547
280027368,village,بدنايل - الكورة,بدنايل - الكورة,Bednayel Koura,Bednayel Koura,34.290475,35.7339728
280027499,village,كفريا - الكورة,كفريا - الكورة,Kefraiya Koura,Kefraiya Koura,34.2948983,35.723039
288509191,locality,رأس الناقورة,رأس الناقورة,Ra's An Naqura,Ras el Naquoura,33.0944176,35.1038666
289346590,city,بيروت,بيروت,Beirut,Beyrouth,33.8959203,35.47843
289417546,village,أدما و الدفنه,أدما و الدفنه,Adma,Adma,34.0266183,35.6540175
289658536,village,بيت الشعار,بيت الشعار,Bait Ash Shaar,Bayt Ech Chaar,33.9276415,35.6232986
290253814,village,رميلة,رميلة,Rmeileh,Rmeileh,33.6107271,35.4023161
291393757,neighbourhood,مصيطبة,مصيطبة,Msaitbeh,Moussaitbé,33.8862481,35.4969535
291396507,neighbourhood,صنائع,صنائع,Sanayeh,Sanayeh,33.8919025,35.4898952
291397086,neighbourhood,عائشة بكار,عائشة بكار,Aicha Bakkar,Aicha Bakkar,33.8899302,35.4876007
291405451,suburb,ميناء الحصن,ميناء الحصن,Mina al-Husn,Minet El Hosn,33.899703,35.4977044
291406193,suburb,صيفي,صيفي,Saifi,Saifi,33.8929743,35.5084655
291406964,neighbourhood,جميزة,جميزة,Gemmayzeh,Gemmayzé,33.8969521,35.5096877
291429004,neighbourhood,بدارو,بدارو,Badaro,Badaro,33.8757985,35.5160464
291443088,hamlet,ضهر الجمل,ضهر الجمل,Dahr Ej Jammal,Dahr Ej Jammal,33.8837442,35.5339981
291444016,hamlet,جسر الواطي,جسر الواطي,Jisr al Wati,Jisr al Wati,33.8798436,35.5327775
291444126,hamlet,عمّاطور,عمّاطور,Amatouri,Aammatour,33.8753419,35.5335046
292198288,village,بكفيا,بكفيا,Bikfaya,Bikfaya,33.9221677,35.684352
292201869,village,شننعير,شننعير,Chnanir,Chnanir,34.0063305,35.6668237
292625086,village,ديك المحدي,ديك المحدي,Dik El Mehdi,Dik El Mehdi,33.9327557,35.6200816
292736556,village,دوار,دوار,Duwar,Douar,33.9069005,35.6970236
292903332,village,بيت الككو,بيت الككو,Beit El Kekko,Beit el Kekko,33.9244233,35.6380202
294759025,locality,ساحة المتحف,ساحة المتحف,Museum Square,Place du Musée,33.8789712,35.5149794
295103874,locality,ضهر الهواء,ضهر الهواء,Dahr el Haoua,Dahr el Haoua,34.0018624,35.6690284
359185646,locality,ساحة المقاومة و التحرير,ساحة المقاومة و التحرير,Resistance and Liberation Square,Place de la Résistance et de la Libération,33.8755964,35.4952401
365936506,village,فاريا,فاريا,Faraya,Faraya,34.0128135,35.8204948
382345519,town,برج البراجنة,برج البراجنة,Burj El Brajneh,Bourj El Barajneh,33.8410614,35.4990347
382978975,village,نيحا,نيحا,Niha,Niha,33.5963175,35.6263982
382986443,village,دلغاني,دلغاني,Delghani,Delghani,33.5988558,35.6109609
382986444,village,كفر تعلا,كفر تعلا,Kfar Taala,Kfar Taala,33.5712448,35.595552
382986445,village,عاريه,عاريه,Aariye,Aariye,33.5678518,35.5999168
383029586,village,عين قني,عين قني,Ain Qani,Ain Qani,33.6510417,35.6140793
383252982,village,الهلالية,الهلالية,Hlaliyeh Saida,Hilaliyeh Saida,33.5656718,35.3925806
383510682,village,عثرين,عثرين,Aathrine,Aathrine,33.6646324,35.568255
383510688,village,شواليق - دير القمر,شواليق - دير القمر,Choualiq Deir el Qamar,Choualiq Deir el Qamar,33.6922005,35.5477253
383548727,village,سهل الجية,سهل الجية,Sahl Ej Jiyeh,Sahl Ej Jiyeh,33.6814945,35.4223568
383548729,village,مقصبة,مقصبة,Maqsabeh,Maqsabeh,33.6882528,35.422598
386122952,locality,ساحة باب إدريس,ساحة باب إدريس,Bab Idriss Square,Place Bab Idriss,33.8985185,35.50263
386776547,hamlet,جلال عيرم,جلال عيرم,Jlall Aairam,Jlall Aairam,33.5532562,35.3670406
387261948,hamlet,المنطقة المستحدثة,المنطقة المستحدثة,New Sector,Nouveau Secteur,33.9052059,35.5053319
387269249,locality,دوار الصالومي,دوار الصالومي,Saloumi Square,Rond-Point Saloumi,33.8811034,35.5399732
388973442,locality,ساحة الوردية,ساحة الوردية,El Wardieh Place,Place El Ouardieh,33.8963819,35.4879037
389001790,locality,ساحة قداسة البابا,ساحة قداسة البابا,Place de Sa Sainteté Le Pape,Place de Sa Sainteté Le Pape,33.901812,35.5032362
428339508,city,بعلبك,بعلبك,Baalbek,Baalbek,34.009653,36.2117096
529861003,village,السلطانية,السلطانية,As Sultaniyah,Soultaniyeh,33.2055219,35.407732
529861013,village,مزرعة بيوت السياد,مزرعة بيوت السياد,Mazraat Buyut as Sayad,Mazraat Biout es Siyad,33.1676911,35.1940949
529861030,village,رمادية,رمادية,Rmadiyeh,Rmadiyeh,33.1988881,35.2766693
529861050,village,شارنية,شارنية,Charnip,Charnip,33.266143,35.2482946
529861079,village,وادي جيلو,وادي جيلو,Wadi Jilo,Ouadi Jilo,33.2436337,35.3044637
529910717,village,رب الثلاثين,رب الثلاثين,Rabb Et Talatine,Rab El Thalathine,33.2489966,35.5189761
529910721,village,محيبيب,محيبيب,Mhaibib,Mhaibib,33.1540427,35.5048596
529910723,village,بيت ياحون,بيت ياحون,Beit Yahoun,Beit Yahoun,33.1592022,35.4267386
529910730,village,شقرا,شقرا,Chaqra,Chaqra,33.1924455,35.4629222
529910747,village,بني حيان,بني حيان,Bani Haiyane,Bani Haiyane,33.2438787,35.4911488
529953284,village,ظهيرة,ظهيرة,Dhayra,Dhayra,33.1011399,35.2270769
529953286,hamlet,بطيشية,بطيشية,Al Butayshiyya,Btaychiyeh,33.1055687,35.209298
529953295,village,رامية,رامية,Ramiya,Ramiyeh,33.1111363,35.309988
530635860,village,حانين,حانين,Hanine,Hanine,33.1090042,35.3820811
530635864,village,أمية,أمية,Oumaya,Oumaya,33.1185827,35.372317
530649944,village,قطمون,قطمون,Qatmoun,Qatmoun,33.0660062,35.3604854
530649948,village,جباب العرب,جباب العرب,Jbab El Aarab,Jbab El Aarab,33.0684644,35.3720148
530655761,village,نبي يوشع,نبي يوشع,Nabi Youcheaa,Nabi Youcheaa,33.1307165,35.4991366
537974056,locality,ساحة مار نقولا,ساحة مار نقولا,Saint Nicolas Square,Place Saint Nicolas,33.8917696,35.5162469
564334778,village,أبو شاش,أبو شاش,Abi Shash,Abou Chach,33.1282772,35.2114899
564336962,locality,المبشرات,المبشرات,El Mbachrat,El Mbachrat,33.1348159,35.383704
564338215,village,الحارة,الحارة,Al Hara,El Hara,33.1972906,35.4109158
564342448,locality,تلة النمرة,تلة النمرة,Thallet en Nimre,Thallet en Nimre,33.3527778,35.3833333
564343271,neighbourhood,النبطية التحتا,نبطية التحتى,Nabatieh et Tahta,Nabatieh et Tahta,33.3775564,35.4833734
564348588,suburb,النواويس,النواويس,En Naouaouis,En Naouaouis,33.5188889,35.3913889
564351992,village,السعديات,السعديات,Es Saadiyat,Es Saadiyat,33.695,35.4261111
564352631,locality,خناديق ضرتة,خناديق ضرتة,Khnadiq Darte,Khnadiq Darte,33.7269444,35.4941667
564356654,locality,خلال الغنم,خلال الغنم,Khlal el Ghanam,Khlal el Ghanam,33.5363889,35.5722222
564356936,village,صباح,صباح,Sabbah,Sabbah,33.5680556,35.5652778
564357124,locality,خلة الجحشة,خلة الجحشة,Khallat Al Jahsha,Khallet ej Jahche,33.5041667,35.6311111
564359709,village,حارة الكواسبة,حارة الكواسبة,Harat Al Kawasba,Haret El Kaouasbé,33.4983333,35.8447222
564360056,village,مزرعة المطحنة,مزرعة المطحنة,Mazraat El Mathane,Mazraat El Mathane,33.5787068,35.5192844
564360072,village,الخربة,الخربة,El Kherbe,El Kherbe,33.5819444,35.5263889
564360133,village,بسري,بسري,Bisri,Bisri,33.5783333,35.5402778
564360422,village,الغباطية,,El Ghabbatiye,El Ghabbatiye,33.5777778,35.5844444
564360466,village,جل ناشي,جل ناشي,Jall Nachi,Jall Nachi,33.5780556,35.5741667
564360751,locality,خندق الوسطى,خندق الوسطى,Khandaq el Ouasta,Khandaq el Ouasta,33.6319444,35.5308333
564360785,locality,خلة المغارة,خلة المغارة,Khallet el Maghara,Khallet el Maghara,33.65,35.5172222
564361618,locality,خلة الكبيرة,خلة الكبيرة,Khallat al Kabirah,Khallet el Kbire,33.6786111,35.5413889
564361695,locality,ساقية الحواقير,ساقية الحواقير,Saqiet el Haouakir,Saqiet el Haouakir,33.7044444,35.5338889
564361764,locality,باب المرم,باب المرم,Bab el Marma,Bab el Marma,33.6719444,35.5880556
564362495,locality,خلة درجة المصري,خلة درجة المصري,Khallat Darajat al Misri,Khallet Darajet el Mousri,33.6766667,35.6094444
564364168,locality,وادي شرف الدين,وادي شرف الدين,Ouadi Charaf ed Dine,Ouadi Charaf ed Dine,33.7255556,35.7608333
564365319,village,سلطان يعقوب,سلطان يعقوب,Soultane Yaaqoub,Soultane Yaaqoub,33.6442578,35.8594374
564366026,neighbourhood,الحمرا,الحمرا,El Hamra,Hamra,33.8954753,35.4820202
564367543,village,زعيترية,زعيترية,Zaaitriye,Ez Zaaïtriyé,33.8807028,35.5611737
564367612,hamlet,حي الروم,حي الروم,Hai er Roum,Hai er Roum,33.9051102,35.5888394
564368216,village,العزونية,العزونية,El Aazzouniye,El Aazzouniye,33.7740026,35.7065778
564372587,village,المسلوخ,المسلوخ,El Masloukh,El Masloukh,34.2056263,35.6444945
564375776,locality,جورة الخوري,جورة الخوري,Jouret el Khouri,Jouret el Khouri,34.3177778,35.8033333
