name_default,name_ar,name_en,name_fr,place_type
Beirut,بيروت,Beirut,Beyrouth,governorate
Mount Lebanon,جبل لبنان,Mount Lebanon,Mont-Liban,governorate
North Lebanon,لبنان الشمالي,North Lebanon,Liban-Nord,governorate
South Lebanon,لبنان الجنوبي,South Lebanon,Liban-Sud,governorate
Bekaa,البقاع,Bekaa,Békaa,governorate
Nabatieh,النبطية,Nabatieh,Nabatieh,governorate
Akkar,عكار,Akkar,Akkar,governorate
Baalbek-Hermel,بعلبك الهرمل,Baalbek-Hermel,Baalbek-Hermel,governorate
Hamra,الحمرا,Hamra,Hamra,neighbourhood
Ashrafieh,الأشرفية,Ashrafieh,Achrafieh,neighbourhood
Verdun,الفردان,Verdun,Verdun,neighbourhood
Mar Elias,مار الياس,Mar Elias,Mar Elias,neighbourhood
Bourj Hammoud,برج حمود,Bourj Hammoud,Bourj Hammoud,suburb
Dahye,الضاحية,Dahiyeh,Dahye,suburb
Tripoli,طرابلس,Tripoli,Tripoli,city
Zahle,زحلة,Zahle,Zahlé,city
Saida,صيدا,Sidon,Saïda,city
Tyre,صور,Tyre,Tyr,city
Jounieh,جونية,Jounieh,Jounieh,city
Byblos,جبيل,Byblos,Byblos,city
Baabda,بعبدا,Baabda,Baabda,town
Aley,عاليه,Aley,Aley,town
Batroun,البترون,Batroun,Batroun,town
Baalbek,بعلبك,Baalbek,Baalbek,city
Chtaura,شتورا,Chtaura,Chtaura,town
Bhamdoun,بحمدون,Bhamdoun,Bhamdoun,town
Broummana,برمانا,Broummana,Broumana,town
Antelias,انطلياس,Antelias,Antelias,town
Zgharta,زغرتا,Zgharta,Zghorta,town
Bcharre,بشري,Bsharri,Bécharré,town
Hasbaya,حاصبيا,Hasbaya,Hasbaya,town
Marjayoun,مرجعيون,Marjayoun,Marjeyoun,town
Rachaya,راشيا,Rachaya,Rachaya,town
Halba,حلبا,Halba,Halba,town
Hermel,الهرمل,Hermel,Hermel,town
Bint Jbeil,بنت جبيل,Bint Jbeil,Bint Jbeil,town
Nabatieh el Tahta,النبطية التحتا,Nabatieh,Nabatieh,town
Jezzine,جزين,Jezzine,Jezzine,town
Chouf,الشوف,Chouf,Chouf,district
Kesrouan,كسروان,Kesrouan,Kesrouan,district
