text,label,group_id
fi selek kahraba maf9ou3 wa2e3 3al tari2 w 3am yza33e2,urgent,synthetic_0
fi 3atme bel dahye men embeyra7 bass 3ade,not_urgent,synthetic_1
transformer 3am ya3mel sada w fi da5khan tale3 menno,urgent,synthetic_2
streetlight mtfeye bel share3 men youmein bass mesh mistanniyeh 7ada,not_urgent,synthetic_3
sar fi ne3met kahraba bel binaye w rihit 7ar2a wade7a,urgent,synthetic_4
kahraba ma3atle chwaye bel masa bas btrja3,not_urgent,synthetic_5
kabl kahraba maksour w 3am yla2a fi mai,urgent,synthetic_6
fi ta2ye jher fi taghyir bel jadwal el kahraba,not_urgent,synthetic_7
el mahatta ma3andha mazout w fi ezdi7am kbir w khna2,urgent,synthetic_8
mahatta wa7de sakra bass el baaqe fi mazout,not_urgent,synthetic_9
saff sayyarat tawil bel mahatta bas 3am yet7arrak,not_urgent,synthetic_10
fi far2 se3er ghrib bein mahattat bidoun daleel,not_urgent,synthetic_11
el bus ta2akhar sa3a kemle w khalla nnas twa22af bel share3,urgent,synthetic_12
fi ta2khir 3adi bel bus l youm,not_urgent,synthetic_13
el mahatta el ra2iseyye msakkra kellyan,urgent,synthetic_14
khadamet naql msh metwaffra bel weekend,not_urgent,synthetic_15
tari2 mnhadem kellon w sayyarat 3am tenkeb fi,urgent,synthetic_16
fi chi2 sg8ir bel raseef bas mesh khatir,not_urgent,synthetic_17
sar 7ofra kbire bel nos tari2 w 3am tsabbeb 7awades,urgent,synthetic_18
fi chwayet 7ofar bsayta bel tari2 mesh mid3ije,not_urgent,synthetic_19
el tari2 mgha6a bel mai kellyan w mesh 2ader se3ede,urgent,synthetic_20
fi shwayye mai 3al tari2 bas se3eb 3ade,not_urgent,synthetic_21
section mnel tari2 inhaddet kellyan w saar mamnou3 el 3oboor,urgent,synthetic_22
fi crack bsit bel asphalt bas mesh mos re3ib,not_urgent,synthetic_23
lafayet el tari2 khtafet w sayyarat 3am tetlabbak,urgent,synthetic_24
fi lafte wa7de zeele shwaye mesh mzabbta,not_urgent,synthetic_25
kahraba ma2toua3a bel manteka kellha w hiye be2a chi 3 sa3at,urgent,synthetic_26
fi ta7sin bel kahraba mnel jam3iye bas lessa mesh kammel,not_urgent,synthetic_27
tari2 el jame3 feeh 7ofra 3mi2a jiddan w khatira 3al darrajat,urgent,synthetic_28
fi tare2 sg8ir 3ando drob khafife,not_urgent,synthetic_29
sar inqita3 mai kelli bel mabne w nnas ma3andon shi ychrabo,urgent,synthetic_30
fi ta2khir bsit bel wasel mai bas 3ade,not_urgent,synthetic_31
kahraba 2ata3et w kell l 3ede l tebbiye 3attalet,urgent,synthetic_32
fi ta8yir bel sa3at el kahraba l youm,not_urgent,synthetic_33
station benzine sarat khatira la anno fi izdi7am w khna2at,urgent,synthetic_34
el mahatta feeha se3er ghrib chwaye,not_urgent,synthetic_35
tari2 msakkar kellyan mnel flood w mafi 3oboor,urgent,synthetic_36
fi mai wa2fe shwaye bas 3am tenzah,not_urgent,synthetic_37
kahraba 2ata3et bel mostachfa w hal chi khatir jiddan,urgent,synthetic_38
kahraba ma3atle bas bel bet 3ade,not_urgent,synthetic_39
sar 7ades bel tari2 la anno feeh 7ofra ma7jouba,urgent,synthetic_40
fi 7ofra zghire mesh wade7a bel leel,not_urgent,synthetic_41
mahattet naql msakkra w nnas 3aliqin,urgent,synthetic_42
khadamet naql ta2akharet bas raj3et,not_urgent,synthetic_43
transformer feeh khatar 7ari2 w laz call el faydali fawran,urgent,synthetic_44
transformer 3am y3mel sawt ghrib bas 3ade,not_urgent,synthetic_45
kabl kahraba wa2e3 3al tari2 w momken ysabbeb sa3ka,urgent,synthetic_46
kabl kahraba mfakkak chwaye bas maghtti,not_urgent,synthetic_47
